stationId;name;type;status;latitude;longitude;created;operationFrom;operationTo;validFrom;validTo
23132;Juelsminde Havn;Tide-gauge-primary;Active;55,7156;10,0163;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
23289;Fredericia Havn II;Tide-gauge-secondary;Active;55,5595;9,753;2020-11-18 08:17:57.055;2014-08-15 00:00:00;n/a;2014-08-15 00:00:00.000;n/a
23292;Fredericia Havn;Tide-gauge-primary;Active;55,5602;9,7532;2020-11-18 08:17:57.055;1972-06-07 00:00:00;1991-10-24 00:00:00;1972-06-07 00:00:00.000;1991-10-24 00:00:00.000
23292;Fredericia Havn;Tide-gauge-primary;Inactive;55,5602;9,7532;2020-11-18 08:17:57.055;1972-06-07 00:00:00;1991-10-24 00:00:00;1991-10-24 00:00:00.000;n/a
23293;Fredericia Havn;Tide-gauge-primary;Active;55,5602;9,7532;2020-11-18 08:17:57.055;1991-10-31 00:00:00;n/a;1991-10-31 00:00:00.000;2014-08-14 00:00:00.000
23293;Fredericia Havn;Tide-gauge-primary;Active;55,5595;9,753;2020-11-18 08:17:57.055;1991-10-31 00:00:00;n/a;2014-08-14 00:00:00.000;n/a
25148;Esbjerg Havn;Tide-gauge-primary;Active;55,4602;8,4397;2020-11-18 08:17:57.055;1889-01-01;1990-01-26 00:00:00;1889-01-01 00:00:00.000;1990-01-26 00:00:00.000
25148;Esbjerg Havn;Tide-gauge-primary;Inactive;55,4602;8,4397;2020-11-18 08:17:57.055;1889-01-01;1990-01-26 00:00:00;1990-01-26 00:00:00.000;n/a
25149;Esbjerg Havn;Tide-gauge-primary;Active;55,4602;8,4397;2020-11-18 08:17:57.055;1990-01-01 00:00:00;n/a;1990-01-01 00:00:00.000;n/a
26359;Vidåslusen/Højer;Tide-gauge-primary;Active;54,9628;8,6619;2020-11-18 08:17:57.055;1989-10-03 00:00:00;n/a;1989-10-03 00:00:00.000;n/a
26457;Fynshav Havn I;Tide-gauge-primary;Active;54,9947;9,9851;2020-11-18 08:17:57.055;1991-10-30 00:00:00;n/a;1991-10-30 00:00:00.000;2010-09-29 00:00:00.000
26457;Fynshav Havn I;Tide-gauge-primary;Active;54,9944;9,9856;2020-11-18 08:17:57.055;1991-10-30 00:00:00;n/a;2010-09-29 00:00:00.000;n/a
26458;Fynshav Havn;Tide-gauge-primary;Active;54,9947;9,985;2020-11-18 08:17:57.055;1969-11-07 00:00:00;1991-10-24 00:00:00;1969-11-07 00:00:00.000;1991-10-24 00:00:00.000
26458;Fynshav Havn;Tide-gauge-primary;Inactive;54,9947;9,985;2020-11-18 08:17:57.055;1969-11-07 00:00:00;1991-10-24 00:00:00;1991-10-24 00:00:00.000;n/a
26459;Fynshav Havn II;Tide-gauge-secondary;Active;54,9944;9,9856;2020-11-18 08:17:57.055;2014-06-04 00:00:00;n/a;2014-06-04 00:00:00.000;n/a
27084;Ballen Havn;Tide-gauge-primary;Active;55,8155;10,6399;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
28232;Slipshavn;Tide-gauge-primary;Active;55,288;10,8268;2020-11-18 08:17:57.055;1971-10-15 00:00:00;1991-10-30 00:00:00;1971-10-15 00:00:00.000;1991-10-30 00:00:00.000
28232;Slipshavn;Tide-gauge-primary;Inactive;55,288;10,8268;2020-11-18 08:17:57.055;1971-10-15 00:00:00;1991-10-30 00:00:00;1991-10-30 00:00:00.000;n/a
28233;Slipshavn;Tide-gauge-primary;Active;55,288;10,8268;2020-11-18 08:17:57.055;1991-10-29 00:00:00;1996-06-05 00:00:00;1991-10-29 00:00:00.000;1996-06-05 00:00:00.000
28233;Slipshavn;Tide-gauge-primary;Inactive;55,288;10,8268;2020-11-18 08:17:57.055;1991-10-29 00:00:00;1996-06-05 00:00:00;1996-06-05 00:00:00.000;n/a
28234;Slipshavn;Tide-gauge-primary;Active;55,2878;10,8264;2020-11-18 08:17:57.055;1996-11-18 00:00:00;n/a;1996-11-18 00:00:00.000;n/a
28548;Bagenkop Havn;Tide-gauge-primary;Active;54,7517;10,6724;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
29002;Havnebyen/Sjællands Odde;Tide-gauge-primary;Active;55,9728;11,3694;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
29038;Holbæk Havn I;Tide-gauge-primary;Active;55,7214;11,7089;2020-11-18 08:17:57.055;2011-12-22 00:00:00;n/a;2011-12-22 00:00:00.000;n/a
29039;Holbæk Havn II;Tide-gauge-secondary;Active;55,7214;11,7089;2020-11-18 08:17:57.055;2011-12-22 00:00:00;n/a;2011-12-22 00:00:00.000;n/a
29392;Korsør Havn;Tide-gauge-primary;Active;55,3355;11,139;2020-11-18 08:17:57.055;1972-10-20 00:00:00;1991-09-02 00:00:00;1972-10-20 00:00:00.000;1991-09-02 00:00:00.000
29392;Korsør Havn;Tide-gauge-primary;Inactive;55,3355;11,139;2020-11-18 08:17:57.055;1972-10-20 00:00:00;1991-09-02 00:00:00;1991-09-02 00:00:00.000;n/a
29393;Korsør Havn I;Tide-gauge-primary;Active;55,3355;11,139;2020-11-18 08:17:57.055;1991-10-19 00:00:00;n/a;1991-10-19 00:00:00.000;2000-10-12 00:00:00.000
